"sampling_date";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month"
2007-01-02;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-01";2007;1
2007-01-02;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-01";2007;1
2007-01-09;0;15.46;38.16;2561.86227;2248.9497;0.077;0.438;0.416;NA;NA;NA;NA;0.0777978441991181;1.72516719511544;1;1;2;1;0;8.13058352595055;1.25672963663476e-05;346.228111052527;347.476063459612;346.228111052527;347.476063459612;346.228111052527;347.476065190722;0.0020155868576091;0.00022079554602455;3.31967814153818;5.14739129907012;8.09136510248296;2551.1207091195;2239.52014150943;"2007-01";2007;1
2007-01-09;50;15.5;38.17;2561.31216;2248.09953;NA;NA;0.282;NA;NA;NA;NA;NA;NA;1;1;2;1;5;8.12882900384111;1.25374960314061e-05;345.839948231567;347.085868378431;345.758197193229;347.00394767484;348.175040400975;355.685514040847;0.00201462561748074;0.00022093641648785;3.29585877627376;5.10699719018255;NA;2549.90469164265;2238.08703536809;"2007-01";2007;1
2007-01-16;0;15.45;38.21;2565.31296;2252.90049;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;1;0;8.12911083210409;1.26341867499705e-05;348.063843600421;349.318574562891;348.063843600421;349.318574562891;348.063843600421;349.318576312778;0.00201962700769897;0.00022063929555105;3.31609432279797;5.14182225373726;NA;2551.21414498822;2240.51867626276;"2007-01";2007;1
2007-01-16;50;15.46;38.22;2564.61282;2254.60083;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;1;5;8.12329954599025;1.27581296464116e-05;351.603200649762;352.87053472279;351.520142195939;352.787303738152;353.977536114701;361.617136293472;0.00202290739844807;0.00021893530190551;3.26455135012702;5.05881222245304;NA;2549.85052747253;2241.62301255887;"2007-01";2007;1
2007-01-23;0;15.42;38.24;2566.31316;2253.10053;0.198;0.299;0.301;NA;NA;NA;NA;0.094323381557358;1.5480703447352;1;1;4;1;0;8.13013625993134;1.26097579071894e-05;347.137090943616;348.388956386412;347.137090943616;348.388956386412;347.137090943616;348.388958128099;0.00201946130613001;0.00022102946596279;3.32103636263896;5.14975459874669;8.0902995085644;2550.20659205021;2238.95973169456;"2007-01";2007;1
2007-01-23;50;15.44;38.25;2569.0137;2255.00091;0.19;0.273;0.25;NA;NA;NA;NA;0.15363968006863;2.13539707234627;1;1;4;1;5;8.1287039053966;1.25917561176545e-05;346.86848152947;348.119060404468;346.786565940127;348.036974588241;349.21100686603;356.749625302325;0.00202097292559526;0.00022143622828708;3.3009902635487;5.11543301438565;8.0891798091038;2552.22276078431;2240.26234196078;"2007-01";2007;1
2007-01-30;0;14.95;38.18;2561.11212;2253.4506;0.211;0.489;0.359;NA;NA;NA;NA;0.259617134427872;1.76870250009101;1;1;5;1;0;8.12962657609921;1.27953261663859e-05;347.186008985997;348.445550600309;347.186008985997;348.445550600309;347.186008985997;348.445552359937;0.00202365808342468;0.00021699719040892;3.25845864347105;5.05808888404165;8.08252580042754;2549.03773074908;2242.82668412782;"2007-01";2007;1
2007-01-30;50;14.96;38.18;2560.96209;2252.25036;0.213;0.48;0.346;NA;NA;NA;NA;0.319903461388517;2.68757801604213;1;1;5;1;5;8.12924261486038;1.27301442071033e-05;345.521685048126;346.775026993263;345.441118762575;346.694291450872;347.85901567703;355.414786189388;0.00202206171061763;0.00021745850517526;3.23965162323058;5.02584725114838;8.08229700795732;2548.88840806705;2241.63210267156;"2007-01";2007;1
2007-02-06;0;14.75;38.17;2563.5126;2257.70145;0.357;0.682;0.404;NA;NA;NA;NA;0.121539217213353;2.13909022295502;1;2;6;1;0;8.12973666997152;1.28865438172327e-05;347.532531633479;348.796543637557;347.532531633479;348.796543637557;347.532531633479;348.796545408197;0.00202891172633366;0.0002159031798491;3.24087522428356;5.03299941103635;8.0795408335165;2552.0953314121;2247.6461907257;"2007-02";2007;2
2007-02-06;50;14.76;38.18;2561.71224;2254.10073;0.28;0.578;0.512;NA;NA;NA;NA;0.12445549340263;2.27520198876683;1;2;6;1;5;8.13080772821447;1.27594061459809e-05;344.227369556781;345.479196388832;344.147527406899;345.399185747914;346.557567638425;354.104411718661;0.00202450682194449;0.00021683450190952;3.22889053356597;5.01132298475461;8.08076222496523;2549.63502147721;2243.47374908329;"2007-02";2007;2
2007-02-13;0;NA;NA;NA;NA;NA;NA;0.448;NA;NA;NA;NA;NA;NA;1;2;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-02";2007;2
2007-02-13;50;NA;NA;NA;NA;NA;NA;0.436;NA;NA;NA;NA;NA;NA;1;2;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-02";2007;2
2007-02-20;0;14.27;38.1;2556.36117;2253.50061;0.213;0.213;NA;NA;NA;NA;NA;0.0845870220948086;1.86091448608579;1;2;8;1;0;8.13423564721533;1.28927871930655e-05;342.523823559842;343.777255053208;342.523823559842;343.777255053208;342.523823559842;343.777256790797;0.00202697415223172;0.00021363367057521;3.20516646702531;4.98282135832695;8.07659114115173;2549.65156062992;2247.58591023622;"2007-02";2007;2
2007-02-20;50;14.29;38.11;2555.511;2252.80047;0.281;0.281;NA;NA;NA;NA;NA;0.0797254385629631;2.25175750868076;1;2;8;1;5;8.13186172001658;1.28891902907886e-05;342.65686999587;343.910468687532;342.578444630954;343.831876060998;344.980242413209;352.538259269655;0.00202654962533905;0.00021336165437015;3.17540773218401;4.93343317549753;8.07454102686841;2548.13482025715;2246.29802833902;"2007-02";2007;2
2007-02-27;0;NA;NA;NA;NA;0.337;0.749;0.455;NA;NA;NA;NA;NA;NA;1;2;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-02";2007;2
2007-02-27;50;NA;NA;NA;NA;0.33;0.682;0.397;NA;NA;NA;NA;NA;NA;1;2;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-02";2007;2
2007-03-06;0;NA;NA;NA;NA;0.053;0.397;0.666;NA;NA;NA;NA;NA;NA;1;3;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";2007;3
2007-03-06;50;NA;NA;NA;NA;0.104;0.37;0.602;NA;NA;NA;NA;NA;NA;1;3;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";2007;3
2007-03-13;0;NA;NA;NA;NA;0.007;0.271;NA;NA;NA;NA;NA;NA;NA;1;3;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";2007;3
2007-03-13;50;NA;NA;NA;NA;0.115;0.157;NA;NA;NA;NA;NA;NA;NA;1;3;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";2007;3
2007-03-20;0;14.24;38.03;2555.21094;2255.20095;NA;NA;0.41;NA;NA;NA;NA;NA;NA;1;3;12;1;0;8.131240810777;1.30180209120804e-05;345.397952930986;346.662389859002;345.397952930986;346.662389859002;345.397952930986;346.662391627001;0.00203023817695968;0.00021194475212823;3.1811438368182;4.94596991568629;NA;2553.19525953195;2253.42193268472;"2007-03";2007;3
2007-03-20;50;14.14;38.14;2554.41078;2258.75166;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;12;1;5;8.1226537234276;1.32755135811501e-05;351.370523100795;352.658475458408;351.290423895808;352.578204848089;353.754226263935;361.519526021646;0.00203662849844168;0.00020884764797716;3.10659132204899;4.82796757295716;NA;2545.0343377032;2250.46048977451;"2007-03";2007;3
2007-03-27;0;NA;NA;NA;NA;NA;NA;0.653;NA;NA;NA;NA;NA;NA;1;3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";2007;3
2007-03-27;50;NA;NA;NA;NA;0.259;0.893;0.577;NA;NA;NA;NA;NA;NA;1;3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";2007;3
2007-04-03;0;14.1;38.08;2553.91068;2253.15054;NA;NA;0.666;NA;NA;NA;NA;NA;NA;2;4;14;1;0;8.13423971580045;1.2952788153853e-05;342.293254077981;343.548561799796;342.293254077981;343.548561799796;342.293254077981;343.548563541325;0.00202794659039653;0.00021225116144961;3.18377029847518;4.95137920047212;NA;2548.54532142857;2248.41703046218;"2007-04";2007;4
2007-04-03;50;13.98;38.09;2548.90968;2251.9503;0.269;0.578;0.333;NA;NA;NA;NA;0.0884713224349143;2.05914572436427;2;4;14;1;5;8.12833908603575;1.3111008347789e-05;345.220174465907;346.488161735872;345.141866011295;346.409685106213;347.56346302805;355.208559253634;0.002029500775377;0.0002093385162752;3.11389387825022;4.84105707050626;8.06624651264198;2542.88705276975;2246.62933578367;"2007-04";2007;4
2007-04-10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-04";2007;4
2007-04-10;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-04";2007;4
2007-04-17;0;15.77;38.01;2542.05831;2236.29717;0.454;NA;0.384;NA;NA;NA;NA;0.153678727551645;14.2901763619543;2;4;16;1;0;8.1178971258543;1.28110859650588e-05;355.927451771848;357.205344217027;355.927451771848;357.205344217027;355.927451771848;357.205346034513;0.00200799372655675;0.00021549235747818;3.24563350358774;5.02948521511627;8.08351230912591;2541.38952328335;2235.70882557222;"2007-04";2007;4
2007-04-17;50;15.01;38.03;2542.70844;2240.448;NA;NA;0.455;NA;NA;NA;NA;NA;NA;2;4;16;1;5;8.12285312094654;1.28670500214291e-05;349.471621565024;350.738491201288;349.390113173423;350.656811742787;351.835260520217;359.472530712319;0.00201438451088121;0.00021319643909735;3.1798076524833;4.93285235586817;NA;2540.70262214042;2238.68062056271;"2007-04";2007;4
2007-04-24;0;18.04;37.87;2537.75745;2228.34558;0.097;0.628;0.602;NA;NA;NA;NA;0;1.57183414778502;2;4;17;1;0;8.0920158399724;1.28520890224158e-05;381.215781779178;382.545870677657;381.215781779178;382.545870677657;381.215781779178;382.545872664929;0.00199610860199057;0.00021938488898701;3.32685868668865;5.12825127462597;8.09262418070586;2546.46905466068;2235.99503670452;"2007-04";2007;4
2007-04-24;50;14.85;38.02;2544.85887;2243.9487;0;0.203;0.423;NA;NA;NA;NA;0.027228445284435;2.12381873218593;2;4;17;1;5;8.12279122941087;1.29459156890823e-05;349.898432034226;351.169433702641;349.817172564345;351.088003071559;352.266276881987;359.928625313415;0.00201873118262754;0.00021227160168337;3.16506499833649;4.91171472189453;8.07418846713824;2543.52017517096;2242.76829563388;"2007-04";2007;4
2007-05-02;0;18.4;37.72;2530.30596;2216.14314;0;0.407;0.506;NA;NA;NA;NA;0.0885855138813534;1.50108640005546;2;5;18;1;0;8.09674613122568;1.2530220462052e-05;375.191885004282;376.495049227155;375.191885004282;376.495049227155;375.191885004282;376.495051137564;0.00198118220342936;0.00022243071610858;3.38012560303314;5.20621534726622;8.10288438357456;2549.08871898197;2232.59383138918;"2007-05";2007;5
2007-05-02;50;14.65;38.07;2553.36057;2248.39959;0.112;0.536;0.384;NA;NA;NA;NA;0.099181307462467;1.46146573643223;2;5;18;1;5;8.13070031766971;1.27803301209752e-05;343.43168577688;344.682368379704;343.352325431619;344.602840131493;345.757389158576;353.297449308412;0.00202066735627587;0.00021495190360315;3.20248549173045;4.97179502227599;8.07895941182197;2548.66565957447;2244.26541686367;"2007-05";2007;5
2007-05-09;0;18.82;37.33;2498.09952;2190.38799;NA;NA;0.589;NA;NA;NA;NA;NA;NA;2;5;19;1;0;8.08922013958749;1.25298947899184e-05;378.86015622815;380.169163911941;378.86015622815;380.169163911941;378.86015622815;380.169165842733;0.00195997495223627;0.0002178831429738;3.32425679105788;5.11622993363844;NA;2542.93548781141;2229.70114170908;"2007-05";2007;5
2007-05-09;50;15.1;37.98;2541.5082;2235.99711;NA;NA;0.609;NA;NA;NA;NA;NA;NA;2;5;19;1;5;8.12750223987916;1.26671609602927e-05;344.880878239184;346.129669880888;344.800280062227;346.048902885546;347.212737105549;354.740931489596;0.00200800779799651;0.00021532215104319;3.21328518657408;4.98394352162856;NA;2542.84654028436;2237.17457030016;"2007-05";2007;5
2007-05-15;0;20;37.57;2510.95209;2197.03932;0.117;2.678;0.41;NA;NA;NA;NA;0.0973971970224656;6.1662165434923;2;5;20;1;0;8.07608230995251;1.25829833137633e-05;393.709890697031;395.050341179325;393.709890697031;395.050341179325;393.709890697031;395.050343213332;0.00196207561006215;0.00022238072662408;3.39966077352491;5.21540519053643;8.10671066592607;2539.69069523556;2222.185098749;"2007-05";2007;5
2007-05-15;50;15.05;37.88;2530.25595;2223.64464;0;0.324;0.423;NA;NA;NA;NA;0.0534924085833485;1.19920254151398;2;5;20;1;5;8.13260622052637;1.2464071363151e-05;338.651101692907;339.878106906917;338.572116985459;339.798956563668;340.941237474123;348.338144975437;0.00199554281107873;0.00021563775755811;3.21980943854708;4.99489456398695;8.08705673305207;2538.27154435058;2230.68892080253;"2007-05";2007;5
2007-05-22;0;20.45;37.47;2510.75205;2190.53802;0;0.199;0.378;NA;NA;NA;NA;0.027276463728539;1.7534869539775;2;5;21;1;0;8.08081129156404;1.22691368927296e-05;388.456520334742;389.771694880808;388.456520334742;389.771694880808;388.456520334742;389.771696842271;0.00195136666943179;0.00022690221367547;3.47644727198754;5.32723460554698;8.11834343222538;2546.26575660528;2221.52241152922;"2007-05";2007;5
2007-05-22;50;14.82;37.98;2540.0079;2236.84728;0.038;0.979;0.858;NA;NA;NA;NA;0.0272290859303536;1.77961525901954;2;5;21;1;5;8.12807247463896;1.27497466102211e-05;344.206600401552;345.45739609655;344.126749116849;345.377376500955;346.536170770994;354.076736185057;0.0020105309336893;0.00021356659970047;3.18502395471817;4.94311721040581;8.0789827539435;2541.34545023697;2238.02518799368;"2007-05";2007;5
2007-05-30;0;17.1;37.82;2529.35577;2218.14354;0;0.315;0.256;NA;NA;NA;NA;0.0953626169171522;1.51217863968627;2;5;22;1;0;8.11092205772194;1.25056008905839e-05;360.9229773306;362.197211731745;360.9229773306;362.197211731745;360.9229773306;362.197213548765;0.00198589113795032;0.00021974680115909;3.32503353509225;5.13726323661014;8.09706554351241;2541.39395187731;2228.70054257007;"2007-05";2007;5
2007-05-30;50;14.77;37.99;2541.10812;2241.9483;0;0.377;0.525;NA;NA;NA;NA;0.0943276003112015;1.39352011593765;2;5;22;1;5;8.12193330337407;1.29934990467368e-05;350.276028785249;351.549698737947;350.194872026987;351.468370722863;352.647089770472;360.325608774612;0.00201796777508127;0.00021098702587198;3.14598092721955;4.88302284715992;8.07210121794641;2541.7770086865;2242.53844169518;"2007-05";2007;5
2007-06-05;0;20.23;37.71;2517.90348;2202.24036;0;0.208;0.218;NA;NA;NA;NA;0;1.6274356043041;2;6;23;1;0;8.07317771413712;1.2617196892611e-05;397.58872027329;398.938513960012;397.58872027329;398.938513960012;397.58872027329;398.938516024298;0.00196572152681839;0.00022390163628899;3.42197848794719;5.24592383647126;8.10731522672033;2537.26683214002;2219.17617820207;"2007-06";2007;6
2007-06-05;50;15.7;37.92;2536.95729;2220.89409;0;0.124;0.512;NA;NA;NA;NA;0.0136178067523945;1.71778905176633;2;6;23;1;5;8.13641020095624;1.21123062264446e-05;335.644284932869;336.850396975526;335.564682953631;336.770630508798;337.908962112038;345.179271612596;0.00198657037250622;0.00022221141126733;3.32224685163232;5.1462781959405;8.10089122167195;2542.30952056962;2225.57952056962;"2007-06";2007;6
2007-06-12;0;21.49;37.56;2512.85247;2196.28917;0.043;0.469;0.275;NA;NA;NA;NA;0.0136411266567502;1.21698337102007;2;6;24;1;0;8.05794115399381;1.26925565055147e-05;413.551797763118;414.934035035868;413.551797763118;414.934035035868;413.551797763118;414.93403721099;0.00195854215860858;0.00022505445488589;3.45823336595351;5.28398145615561;8.11126573860357;2542.28950638978;2222.0177971246;"2007-06";2007;6
