"datetime";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2_w";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month";"speed_ms";"impute_temp";"impute_sal";"CO2_CORSE";"CO2_PR";"CO2_LAMP";"impute_pCO2_w";"impute_ta";"impute_dic";"pCO2_atmos_dry";"pCO2_atmos";"impute_pCO2_atmos";"delta_pCO2";"Tmean";"pCO2_w_mean";"NpCO2";"TpCO2";"delta_pCO2_T";"delta_pCO2_bio";"Flux_CO2_2014";"SC";"K600";"k";"rho";"K0";"Flux_wan_92";"K600_M3";"Flux_HO"
2007-01-02;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-01";2007;"01";NA;15.7307839264859;38.16;NA;NA;380.899;346.48822390299;2561.86227;2248.21706721381;380.899;369.205832545837;369.205832545837;-22.7176086428477;18.8369699466636;411.319858003375;395.140145558036;360.675797328438;-48.6519216550464;-14.1875734254477;NA;826.437314358809;NA;NA;1.02824363087646;3.70224262463204e-08;NA;NA;NA
2007-01-09;0;15.46;38.16;2561.86227;2248.9497;0.077;0.438;0.416;NA;NA;NA;NA;0.0777978441991181;1.72516719511544;1;1;2;1;0;8.13058352595055;1.25672963663476e-05;346.228111052527;347.476063459612;346.228111052527;347.476063459612;346.228111052527;347.476065190722;0.0020155868576091;0.00022079554602455;3.31967814153818;5.14739129907012;8.09136510248296;2551.1207091195;2239.52014150943;"2007-01";2007;"01";NA;15.46;38.16;NA;NA;385.582;347.476063459612;2561.86227;2248.9497;385.582;373.745069755208;373.745069755208;-26.2690062955963;18.8369699466636;411.319858003375;400.831688290181;356.568128860886;-53.3556248305685;-9.09206540127371;NA;838.353917577416;NA;NA;1.02830612883367;3.73251837844668e-08;NA;NA;NA
2007-01-16;0;15.45;38.21;2565.31296;2252.90049;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;1;0;8.12911083210409;1.26341867499705e-05;348.063843600421;349.318574562891;348.063843600421;349.318574562891;348.063843600421;349.318576312778;0.00201962700769897;0.00022063929555105;3.31609432279797;5.14182225373726;8.08974415299413;2551.21414498822;2240.51867626276;"2007-01";2007;"01";NA;15.45;38.21;NA;383.516;NA;349.318574562891;2565.31296;2252.90049;383.516;371.742493612872;371.742493612872;-22.4239190499812;18.8369699466636;411.319858003375;403.127607471547;356.417332438069;-53.8090329086556;-7.09875787517848;NA;838.798521281125;NA;NA;1.02834700583772;3.73274281555138e-08;NA;NA;NA
2007-01-23;0;15.42;38.24;2566.31316;2253.10053;0.198;0.299;0.301;NA;NA;NA;NA;0.094323381557358;1.5480703447352;1;1;4;1;0;8.13013625993134;1.26097579071894e-05;347.137090943616;348.388956386412;347.137090943616;348.388956386412;347.137090943616;348.388958128099;0.00201946130613001;0.00022102946596279;3.32103636263896;5.14975459874669;8.0902995085644;2550.20659205021;2238.95973169456;"2007-01";2007;"01";NA;15.42;38.24;NA;NA;NA;348.388956386412;2566.31316;2253.10053;NA;NA;372.341900819918;-23.9529444335055;18.8369699466636;411.319858003375;402.565322305331;355.965325702137;-54.1763659189192;-7.57636931572534;NA;840.134282708728;NA;NA;1.02837704075542;3.73558051258312e-08;NA;NA;NA
2007-01-30;0;14.95;38.18;2561.11212;2253.4506;0.211;0.489;0.359;NA;NA;NA;NA;0.259617134427872;1.76870250009101;1;1;5;1;0;8.12962657609921;1.27953261663859e-05;347.186008985997;348.445550600309;347.186008985997;348.445550600309;347.186008985997;348.445552359937;0.00202365808342468;0.00021699719040892;3.25845864347105;5.05808888404165;8.08252580042754;2549.03773074908;2242.82668412782;"2007-01";2007;"01";NA;14.95;38.18;NA;385.794;NA;348.445550600309;2561.11212;2253.4506;385.794;373.950561595564;373.950561595564;-25.5050109952552;18.8369699466636;411.319858003375;410.715519194323;348.958263559105;-62.269968594014;-0.512712958795646;NA;861.448328514875;NA;NA;1.02843751275661;3.79024300429062e-08;NA;NA;NA
2007-02-06;0;14.75;38.17;2563.5126;2257.70145;0.357;0.682;0.404;NA;NA;NA;NA;0.121539217213353;2.13909022295502;1;2;6;1;0;8.12973666997152;1.28865438172327e-05;347.532531633479;348.796543637557;347.532531633479;348.796543637557;347.532531633479;348.796545408197;0.00202891172633366;0.0002159031798491;3.24087522428356;5.03299941103635;8.0795408335165;2552.0953314121;2247.6461907257;"2007-02";2007;"02";NA;14.75;38.17;NA;386.08;386.984;348.796543637557;2563.5126;2257.70145;386.984;375.104029944732;375.104029944732;-26.3074863071747;18.8369699466636;411.319858003375;414.622144971068;346.018529258921;-65.8256013335113;2.77801437863627;NA;870.742928109375;NA;NA;1.02847461803684;3.81359499438776e-08;NA;NA;NA
2007-02-13;0;NA;NA;NA;NA;NA;NA;0.448;NA;NA;NA;NA;NA;NA;1;2;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-02";2007;"02";NA;14.4488031667323;38.135;NA;NA;NA;348.422177955209;2559.936885;2258.48307113675;NA;NA;375.817192875731;-27.3950149205225;18.8369699466636;411.319858003375;419.487762702378;341.638001162485;-71.0655847471689;6.78417679272349;NA;885.000026720935;NA;NA;1.02851438055947;3.84956212087545e-08;NA;NA;NA
2007-02-20;0;14.27;38.1;2556.36117;2253.50061;0.213;0.213;NA;NA;NA;NA;NA;0.0845870220948086;1.86091448608579;1;2;8;1;0;8.13423564721533;1.28927871930655e-05;342.523823559842;343.777255053208;342.523823559842;343.777255053208;342.523823559842;343.777256790797;0.00202697415223172;0.00021363367057521;3.20516646702531;4.98282135832695;8.07659114115173;2549.65156062992;2247.58591023622;"2007-02";2007;"02";NA;14.27;38.1;NA;NA;NA;343.777255053208;2556.36117;2253.50061;NA;NA;375.354966540218;-31.5777114870099;18.8369699466636;411.319858003375;417.037756976925;339.063812251176;-73.260501923717;4.71344280203192;NA;893.613744986223;NA;NA;1.02852657352669;3.87143121814876e-08;NA;NA;NA
2007-02-27;0;NA;NA;NA;NA;0.337;0.749;0.455;NA;NA;NA;NA;NA;NA;1;2;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-02";2007;"02";NA;14.3568149993111;38.0825;NA;NA;NA;349.923260004192;2556.0736125;2258.14559132329;NA;NA;375.549368122431;-25.626108118239;18.8369699466636;411.319858003375;422.9375057489;340.311236673473;-73.0142457447084;9.61202333071873;NA;889.417390229894;NA;NA;1.02849400959405;3.86143691349293e-08;NA;NA;NA
2007-03-06;0;NA;NA;NA;NA;0.053;0.397;0.666;NA;NA;NA;NA;NA;NA;1;3;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";2007;"03";NA;14.2966551905136;38.065;NA;386.47;386.894;347.618640551667;2555.786055;2254.36536991427;386.894;375.016792842694;375.016792842694;-27.3981522910265;18.8369699466636;411.319858003375;421.222556841986;339.446327240912;-73.6039162903182;8.1723133107555;NA;892.322477441066;NA;NA;1.02849366072632;3.86891591756187e-08;NA;NA;NA
