"datetime";"Hour";"temp_eol_c";"sal_eol_psu";"oxy_eol_mll";"Year";"Month";"Year.Month";"Year.Month.Day";"dMonth";"NB_OBS_DAY"
"2017-10-06";"00:00:00";21.04005;38.18375;5.22541065557439;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"01:00:00";21.0291;38.1833;5.22492139903924;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"02:00:00";21.0097;38.1862;5.22943214250408;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"03:00:00";20.99185;38.1871;5.23494288596892;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"04:00:00";20.9829;38.18685;5.23245362943377;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"05:00:00";20.96285;38.18595;5.23296437289861;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"06:00:00";20.9407;38.18635;5.23097511636345;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"07:00:00";20.9373;38.18735;5.23498585982829;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"08:00:00";20.95845;38.18665;5.22649660329314;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"09:00:00";20.9706;38.1871;5.21800734675798;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"11:00:00";20.9815;38.1864;5.23502883368766;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"12:00:00";20.9862;38.18735;5.24703957715251;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"13:00:00";21.13505;38.19405;5.24105032061735;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"14:00:00";21.15705;38.1942;5.23706106408219;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"15:00:00";21.11435;38.1993;5.26657180754704;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"16:00:00";21.06285;38.19105;5.25808255101188;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"17:00:00";21.22745;38.19475;5.23909329447672;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"18:00:00";21.12785;38.1869;5.26060403794156;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"19:00:00";21.1158;38.1899;5.24311478140641;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"20:00:00";21.0753;38.1909;5.25162552487125;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"21:00:00";21.06275;38.1905;5.25563626833609;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"22:00:00";20.9606;38.19115;5.29814701180093;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-06";"23:00:00";20.8403;38.1881;5.26365775526578;"2017";"10";"2017-10";"2017-10-06";31;23
"2017-10-07";"00:00:00";20.71195;38.18725;5.27766849873062;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"01:00:00";20.65355;38.1898;5.29317924219546;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"02:00:00";20.63945;38.1914;5.28718998566031;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"03:00:00";20.6965;38.19565;5.24970072912515;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"04:00:00";20.68285;38.1943;5.24171147258999;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"05:00:00";20.6559;38.1902;5.25172221605483;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"06:00:00";20.66615;38.18985;5.25673295951968;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"07:00:00";20.7005;38.1942;5.25324370298452;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"08:00:00";20.73685;38.19375;5.25275444644936;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"09:00:00";20.77775;38.19525;5.25176518991421;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"10:00:00";20.79785;38.19485;5.25677593337905;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"11:00:00";20.8249;38.197;5.25928667684389;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"12:00:00";20.8681;38.19925;5.25929742030873;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"13:00:00";20.8959;38.2001;5.25530816377358;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"14:00:00";20.89465;38.2005;5.26131890723842;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"15:00:00";20.9399;38.20205;5.25582965070326;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"16:00:00";20.9256;38.18405;5.2613403941681;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"17:00:00";20.88465;38.1684;5.26335113763295;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"18:00:00";20.78565;38.17745;5.26436188109779;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"19:00:00";20.77675;38.1807;5.26437262456263;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"20:00:00";20.74155;38.1788;5.27288336802748;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"21:00:00";20.70705;38.1867;5.27439411149232;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-07";"23:00:00";20.66865;38.19155;5.281915598422;"2017";"10";"2017-10";"2017-10-07";31;23
"2017-10-08";"00:00:00";20.66505;38.19455;5.28192634188685;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"01:00:00";20.614;38.1932;5.27593708535169;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"02:00:00";20.5982;38.1947;5.27944782881653;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"03:00:00";20.5562;38.19665;5.27745857228137;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"04:00:00";20.52915;38.1955;5.28396931574622;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"05:00:00";20.4842;38.1965;5.29048005921106;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"06:00:00";20.4683;38.1968;5.2909908026759;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"07:00:00";20.46985;38.1963;5.29250154614075;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"08:00:00";20.4783;38.19695;5.28051228960559;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"09:00:00";20.4905;38.19945;5.26652303307043;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"10:00:00";20.5032;38.20095;5.26653377653527;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"11:00:00";20.4939;38.2004;5.28504452000012;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"12:00:00";20.49775;38.20575;5.29755526346496;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"13:00:00";20.3933;38.22115;5.3200660069298;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"14:00:00";20.5394;38.2055;5.30357675039464;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"15:00:00";20.5545;38.2036;5.30908749385949;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"16:00:00";20.5477;38.20315;5.30909823732433;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"17:00:00";20.4888;38.20115;5.31360898078917;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"18:00:00";20.3886;38.2003;5.33011972425401;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"19:00:00";20.3327;38.2063;5.34863046771886;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"20:00:00";20.30195;38.21385;5.3456412111837;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"21:00:00";20.2777;38.22075;5.34365195464854;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-08";"23:00:00";20.26175;38.2331;5.32567344157823;"2017";"10";"2017-10";"2017-10-08";31;23
"2017-10-09";"00:00:00";20.2549;38.23035;5.32618418504307;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"01:00:00";20.24205;38.23175;5.32869492850792;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"02:00:00";20.2383;38.23245;5.32970567197276;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"03:00:00";20.22105;38.23525;5.3237164154376;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"04:00:00";20.19115;38.23985;5.32872715890244;"2017";"10";"2017-10";"2017-10-09";31;24
"2017-10-09";"05:00:00";20.1723;38.2494;5.31873790236729;"2017";"10";"2017-10";"2017-10-09";31;24
