Sampling date	Depth water [m]	CSC flag	Sal	Temp [°C]	[HCO3]- [µmol/kg]	[CO3]2- [µmol/kg]	pH	AT [µmol/kg]	DIC [µmol/kg]	Omega Cal	Omega Arg	pCO2water_SST_wet [µatm]	fCO2water_SST_wet [µatm]
2007-01-09T00:00:00	1	15	38.16000	15.4600	2015.6	220.8		2561.9	2248.9	5.1	3.3	347.5	346.2
2007-01-09T00:00:00	50	15	38.17000	15.5000	2014.6	220.9		2561.3	2248.1	5.1	3.3	347.1	345.8
2007-01-16T00:00:00	1	15	38.21000	15.4500	2019.6	220.6		2565.3	2252.9	5.1	3.3	349.3	348.1
2007-01-16T00:00:00	50	15	38.22000	15.4600	2022.9	218.9		2564.6	2254.6	5.1	3.3	352.9	351.6
2007-01-23T00:00:00	1	15	38.24000	15.4200	2019.5	221.0		2566.3	2253.1	5.1	3.3	348.4	347.1
2007-01-23T00:00:00	50	15	38.25000	15.4400	2021.0	221.4		2569.0	2255.0	5.1	3.3	348.1	346.9
2007-01-30T00:00:00	1	15	38.18000	14.9500	2023.7	217.0		2561.1	2253.5	5.1	3.3	348.4	347.2
2007-01-30T00:00:00	50	15	38.18000	14.9600	2022.1	217.5		2561.0	2252.3	5.0	3.2	346.8	345.5
2007-02-06T00:00:00	1	15	38.17000	14.7500	2028.9	215.9		2563.5	2257.7	5.0	3.2	348.8	347.5
2007-02-06T00:00:00	50	15	38.18000	14.7600	2024.5	216.8		2561.7	2254.1	5.0	3.2	345.5	344.2
2007-02-13T00:00:00	1												
2007-02-13T00:00:00	50												
2007-02-20T00:00:00	1	15	38.10000	14.2700	2027.0	213.6		2556.4	2253.5	5.0	3.2	343.8	342.5
2007-02-20T00:00:00	50	15	38.11000	14.2900	2026.5	213.4		2555.5	2252.8	4.9	3.2	343.9	342.7
2007-02-27T00:00:00	1												
2007-02-27T00:00:00	50												
2007-03-06T00:00:00	1												
2007-03-06T00:00:00	50												
2007-03-13T00:00:00	1												
2007-03-13T00:00:00	50												
2007-03-20T00:00:00	1	15	38.03000	14.2400	2030.2	211.9		2555.2	2255.2	4.9	3.2	346.7	345.4
2007-03-20T00:00:00	50	15	38.14000	14.1400	2036.6	208.8		2554.4	2258.8	4.8	3.1	352.7	351.4
2007-03-27T00:00:00	1												
2007-03-27T00:00:00	50												
2007-04-03T00:00:00	1	15	38.08000	14.1000	2027.9	212.2		2553.9	2253.2	5.0	3.2	343.5	342.3
2007-04-03T00:00:00	50	15	38.09000	13.9800	2029.5	209.3		2548.9	2252.0	4.8	3.1	346.5	345.2
2007-04-10T00:00:00	1												
2007-04-10T00:00:00	50												
2007-04-17T00:00:00	1	15	38.01000	15.7700	2008.0	215.5		2542.1	2236.3	5.0	3.2	357.2	355.9
2007-04-17T00:00:00	50	15	38.03000	15.0100	2014.4	213.2		2542.7	2240.4	4.9	3.2	350.7	349.5
2007-04-24T00:00:00	1	15	37.87000	18.0400	1996.1	219.4		2537.8	2228.3	5.1	3.3	382.5	381.2
2007-04-24T00:00:00	50	15	38.02000	14.8500	2018.7	212.3		2544.9	2243.9	4.9	3.2	351.2	349.9
2007-05-02T00:00:00	1	15	37.72000	18.4000	1981.2	222.4		2530.3	2216.1	5.2	3.4	376.5	375.2
2007-05-02T00:00:00	50	15	38.07000	14.6500	2020.7	214.9		2553.4	2248.4	5.0	3.2	344.7	343.4
2007-05-09T00:00:00	1	15	37.33000	18.8200	1960.0	217.9		2498.1	2190.4	5.1	3.3	380.2	378.9
2007-05-09T00:00:00	50	15	37.98000	15.1000	2008.0	215.3		2541.5	2236.0	5.0	3.2	346.1	344.9
2007-05-15T00:00:00	1	15	37.57000	20.0000	1962.1	222.4		2511.0	2197.0	5.2	3.4	395.0	393.7
2007-05-15T00:00:00	50	15	37.88000	15.0500	1995.5	215.6		2530.3	2223.6	5.0	3.2	339.9	338.6
2007-05-22T00:00:00	1	15	37.47000	20.4500	1951.4	226.9		2510.8	2190.5	5.3	3.5	389.8	388.5
