"// SOMLIT somlit.fr";;;;;;;;;;;;;;;;;;;;;;;
"// hydro 480087e0f2ecc126";2023-04-14;07:15:48;;;;;;;;;;;;;;;;;;;;;
ID_SITE;DATE;HEURE;COEF_MAREE;MAREE;PROF_TEXT;PROF_NUM;nomSite*;gpsLat*;gpsLong*;S;qS;O;qO;PH;qPH;NH4;qNH4;NO3;qNO3;NO2;qNO2;PO4;qPO4
//;(yyyy-mm-dd);(hh:mm:ss);-;-;-;m;;(wgs84);(wgs84);PSU;;ml/l;;;;µmol/l;;µmol/l;;µmol/l;;µmol/l;
12;1993-01-06;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;37.955;2;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9
12;1993-01-06;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;37.934;2;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9
12;1993-01-13;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;38.009;2;999999;9;999999;9;999999;9;1.33;2;0.15;2;0.02;2
12;1993-01-13;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;37.957;2;999999;9;999999;9;999999;9;2.45;2;0.48;2;0.20;2
12;1993-01-20;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;38.027;2;999999;9;999999;9;999999;9;1.32;2;0.13;2;0.05;2
12;1993-01-20;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;37.996;2;999999;9;999999;9;999999;9;1.64;2;0.37;2;0.08;2
12;1993-01-27;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;38.034;2;999999;9;999999;9;999999;9;0.84;2;0.17;2;0.09;2
12;1993-01-27;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;38.015;2;999999;9;999999;9;999999;9;1.23;2;0.54;2;0.09;2
12;1993-02-03;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;38.047;2;999999;9;999999;9;999999;9;2.72;2;0.68;2;0.18;2
12;1993-02-03;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;38.051;2;999999;9;999999;9;999999;9;0.90;2;0.18;2;0.13;2
12;1993-02-10;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;38.037;2;999999;9;999999;9;999999;9;0.96;2;0.16;2;0.09;2
12;1993-02-10;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;38.045;2;999999;9;999999;9;999999;9;0.86;2;0.28;2;0.10;2
12;1993-02-17;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;38.009;2;999999;9;999999;9;999999;9;0.97;2;0.30;2;0.17;2
12;1993-02-17;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;38.009;2;999999;9;999999;9;999999;9;0.55;2;0.29;2;0.16;2
12;1993-02-24;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;38.011;2;999999;9;999999;9;999999;9;999999;9;0.21;2;0.08;2
12;1993-02-24;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;38.009;2;999999;9;999999;9;999999;9;999999;9;0.22;2;0.06;2
12;1993-03-03;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;38.043;2;999999;9;999999;9;999999;9;0.94;2;0.20;2;0.14;2
12;1993-03-03;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;38.041;2;999999;9;999999;9;999999;9;1.00;2;0.24;2;0.15;2
12;1993-03-25;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;38.005;2;999999;9;999999;9;999999;9;0.54;2;0.20;2;0.04;2
12;1993-03-25;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;37.953;2;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9
12;1993-03-31;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;38.024;2;999999;9;999999;9;999999;9;1.07;2;0.24;2;0.00;0
12;1993-03-31;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;37.986;2;999999;9;999999;9;999999;9;0.35;2;0.00;0;0.00;0
12;1993-04-07;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;37.992;2;999999;9;999999;9;999999;9;0.65;2;0.22;2;0.23;2
12;1993-04-07;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;37.909;2;999999;9;999999;9;999999;9;0.30;2;0.00;0;0.18;2
12;1993-04-12;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;38.000;2;999999;9;999999;9;999999;9;999999;9;0.20;2;999999;9
