"// SOMLIT somlit.fr";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"// hydro ad5809933917e603";2023-02-01;14:57:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID_SITE;DATE;HEURE;COEF_MAREE;MAREE;PROF_TEXT;PROF_NUM;nomSite*;gpsLat*;gpsLong*;T;qT;S;qS;O;qO;PH;qPH;NH4;qNH4;NO3;qNO3;NO2;qNO2;PO4;qPO4;SIOH4;qSIOH4;COP;qCOP;NOP;qNOP;MES;qMES;DN15;qDN15;DC13;qDC13;CHLA;qCHLA
//;(yyyy-mm-dd);(hh:mm:ss);-;-;-;m;;(wgs84);(wgs84);°C;;PSU;;ml/l;;;;µmol/l;;µmol/l;;µmol/l;;µmol/l;;µmol/l;;µg/l;;µg/l;;mg/l;;‰;;‰;;µg/l;
12;1993-01-06;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;14.008;2;37.955;2;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;0.39;2
12;1993-01-06;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;14.038;2;37.934;2;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;0.40;2
12;1993-01-13;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;13.828;2;38.009;2;999999;9;999999;9;999999;9;1.33;2;0.15;2;0.02;2;1.60;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.48;2
12;1993-01-13;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;13.938;2;37.957;2;999999;9;999999;9;999999;9;2.45;2;0.48;2;0.20;2;0.58;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.53;2
12;1993-01-20;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;13.786;2;38.027;2;999999;9;999999;9;999999;9;1.32;2;0.13;2;0.05;2;1.01;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.32;2
12;1993-01-20;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;13.731;2;37.996;2;999999;9;999999;9;999999;9;1.64;2;0.37;2;0.08;2;0.99;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.51;2
12;1993-01-27;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;13.673;2;38.034;2;999999;9;999999;9;999999;9;0.84;2;0.17;2;0.09;2;1.54;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.48;2
12;1993-01-27;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;13.631;2;38.015;2;999999;9;999999;9;999999;9;1.23;2;0.54;2;0.09;2;1.73;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.45;2
12;1993-02-03;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;13.458;2;38.047;2;999999;9;999999;9;999999;9;2.72;2;0.68;2;0.18;2;1.59;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.32;2
12;1993-02-03;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;13.484;2;38.051;2;999999;9;999999;9;999999;9;0.90;2;0.18;2;0.13;2;1.09;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.31;2
12;1993-02-10;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;13.413;2;38.037;2;999999;9;999999;9;999999;9;0.96;2;0.16;2;0.09;2;1.59;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.63;2
12;1993-02-10;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;13.410;2;38.045;2;999999;9;999999;9;999999;9;0.86;2;0.28;2;0.10;2;1.11;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.50;2
12;1993-02-17;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;13.294;2;38.009;2;999999;9;999999;9;999999;9;0.97;2;0.30;2;0.17;2;1.09;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.64;2
12;1993-02-17;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;13.290;2;38.009;2;999999;9;999999;9;999999;9;0.55;2;0.29;2;0.16;2;1.02;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.56;2
12;1993-02-24;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;13.130;2;38.011;2;999999;9;999999;9;999999;9;999999;9;0.21;2;0.08;2;1.78;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.49;2
12;1993-02-24;08:00:00;0.00;inc;S;1.00;"Point B";43.6833;7.31667;13.114;2;38.009;2;999999;9;999999;9;999999;9;999999;9;0.22;2;0.06;2;2.62;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.46;2
12;1993-03-03;08:00:00;0.00;inc;F;50.00;"Point B";43.6833;7.31667;12.945;2;38.043;2;999999;9;999999;9;999999;9;0.94;2;0.20;2;0.14;2;1.13;2;999999;9;999999;9;999999;9;999999;9;999999;9;0.46;2
