oxygen_umol_kg;salinity;temperature;day;month;year;hour
217.57463;38.2034;20.7069;3;Nov;2022;22:51:23
217.81148;38.1955;20.6490;3;Nov;2022;23:21:23
217.63791;38.2208;20.6842;3;Nov;2022;23:51:23
217.29930;38.2614;20.7563;4;Nov;2022;00:21:23
217.22435;38.2702;20.7724;4;Nov;2022;00:51:23
217.21706;38.2679;20.7751;4;Nov;2022;01:21:23
217.26766;38.2677;20.7621;4;Nov;2022;01:51:23
217.34227;38.2673;20.7430;4;Nov;2022;02:21:23
217.90632;38.2179;20.6163;4;Nov;2022;02:51:23
217.75291;38.2356;20.6492;4;Nov;2022;03:21:23
217.71197;38.2527;20.6533;4;Nov;2022;03:51:23
217.56837;38.2628;20.6865;4;Nov;2022;04:21:23
217.40526;38.2665;20.7271;4;Nov;2022;04:51:23
217.44987;38.2639;20.7166;4;Nov;2022;05:21:23
217.40332;38.2682;20.7270;4;Nov;2022;05:51:23
217.45015;38.2706;20.7140;4;Nov;2022;06:21:23
217.35955;38.2691;20.7379;4;Nov;2022;06:51:23
217.39857;38.2690;20.7279;4;Nov;2022;07:21:23
217.42195;38.2709;20.7212;4;Nov;2022;07:51:23
217.33333;38.2708;20.7441;4;Nov;2022;08:21:23
217.33645;38.2788;20.7403;4;Nov;2022;08:51:23
217.27190;38.2793;20.7567;4;Nov;2022;09:21:23
217.29583;38.2792;20.7506;4;Nov;2022;09:51:23
217.26418;38.2781;20.7592;4;Nov;2022;10:21:23
217.31754;38.2757;20.7463;4;Nov;2022;10:51:23
217.31835;38.2763;20.7459;4;Nov;2022;11:21:23
217.37505;38.2762;20.7313;4;Nov;2022;11:51:23
217.34601;38.2769;20.7385;4;Nov;2022;12:21:23
217.41659;38.2766;20.7205;4;Nov;2022;12:51:23
217.37096;38.2780;20.7317;4;Nov;2022;13:21:23
217.33976;38.2820;20.7382;4;Nov;2022;13:51:23
217.51522;38.2749;20.6957;4;Nov;2022;14:21:23
217.45052;38.2786;20.7110;4;Nov;2022;14:51:23
217.53611;38.2717;20.6915;4;Nov;2022;15:21:23
217.57785;38.2749;20.6796;4;Nov;2022;15:51:23
217.56495;38.2797;20.6811;4;Nov;2022;16:21:23
217.58470;38.2825;20.6750;4;Nov;2022;16:51:23
217.48271;38.2802;20.7021;4;Nov;2022;17:21:23
217.50116;38.2841;20.6959;4;Nov;2022;17:51:23
217.47773;38.2891;20.7001;4;Nov;2022;18:21:23
217.51380;38.2910;20.6901;4;Nov;2022;18:51:23
