"","datetime","T_seaF_sf"
"1",2022-11-25 11:00:00,19.1625
"2",2022-11-25 12:00:00,19.1894
"3",2022-11-25 13:00:00,19.1696
"4",2022-11-25 14:00:00,19.1532
"5",2022-11-25 15:00:00,19.1286
"6",2022-11-25 16:00:00,19.1288
"7",2022-11-25 17:00:00,19.1364
"8",2022-11-25 18:00:00,19.1415
"9",2022-11-25 19:00:00,19.1376
"10",2022-11-25 20:00:00,19.1233
"11",2022-11-25 21:00:00,19.1262
"12",2022-11-25 22:00:00,19.1123
"13",2022-11-25 23:00:00,19.095
"14",2022-11-26 00:00:00,19.0894
"15",2022-11-26 01:00:00,19.0865
"16",2022-11-26 02:00:00,19.0869
"17",2022-11-26 03:00:00,19.0789
"18",2022-11-26 04:00:00,19.0715
"19",2022-11-26 05:00:00,19.0444
"20",2022-11-26 06:00:00,19.0234
"21",2022-11-26 07:00:00,18.9921
"22",2022-11-26 08:00:00,18.9878
"23",2022-11-26 09:00:00,18.98
"24",2022-11-26 10:00:00,18.9849
"25",2022-11-26 11:00:00,19.0475
"26",2022-11-26 12:00:00,19.0867
"27",2022-11-26 13:00:00,19.1761
"28",2022-11-26 14:00:00,19.1961
"29",2022-11-26 15:00:00,19.1816
"30",2022-11-26 16:00:00,19.1606
"31",2022-11-26 17:00:00,19.1388
"32",2022-11-26 18:00:00,19.1183
"33",2022-11-26 19:00:00,19.1125
"34",2022-11-26 20:00:00,19.0919
"35",2022-11-26 21:00:00,19.0752
"36",2022-11-26 22:00:00,19.0846
"37",2022-11-26 23:00:00,19.1136
"38",2022-11-27 00:00:00,19.1286
"39",2022-11-27 01:00:00,19.1259
"40",2022-11-27 02:00:00,19.1286
"41",2022-11-27 03:00:00,19.1028
"42",2022-11-27 04:00:00,19.0865
"43",2022-11-27 05:00:00,19.0733
"44",2022-11-27 06:00:00,19.042
"45",2022-11-27 07:00:00,19.0237
"46",2022-11-27 08:00:00,19.021
"47",2022-11-27 09:00:00,19.0241
